product_category_name_english,product_category_name_italian
furniture_decor,mobili_decorazione
housewares,articoli_per_la_casa
health_beauty,salute_bellezza
computers_accessories,informatica_accessori
bed_bath_table,letto_bagno_tavola
furniture_decor,mobili_decorazione
furniture_decor,mobili_decorazione
watches_gifts,orologi_regali
housewares,articoli_per_la_casa
sports_leisure,sport_tempo_libero
computers_accessories,informatica_accessori
bed_bath_table,letto_bagno_tavola
bed_bath_table,letto_bagno_tavola
computers_accessories,informatica_accessori
bed_bath_table,letto_bagno_tavola
telephony,telefonia
garden_tools,attrezzi_da_giardino
health_beauty,salute_bellezza
sports_leisure,sport_tempo_libero
watches_gifts,orologi_regali
toys,giocattoli
food,alimenti
computers_accessories,informatica_accessori
bed_bath_table,letto_bagno_tavola
toys,giocattoli
furniture_decor,mobili_decorazione
cool_stuff,articoli_cool
construction_tools_construction,costruzione_attrezzi_edili
stationery,cartoleria
computers_accessories,informatica_accessori
air_conditioning,climatizzazione
furniture_decor,mobili_decorazione
construction_tools_lights,illuminazione_costruzione
arts_and_craftmanship,arti_e_artigianato
computers_accessories,informatica_accessori
watches_gifts,orologi_regali
health_beauty,salute_bellezza
housewares,articoli_per_la_casa
telephony,telefonia
bed_bath_table,letto_bagno_tavola
office_furniture,mobili_ufficio
telephony,telefonia
computers_accessories,informatica_accessori
cool_stuff,articoli_cool
garden_tools,attrezzi_da_giardino
telephony,telefonia
health_beauty,salute_bellezza
furniture_decor,mobili_decorazione
computers_accessories,informatica_accessori
sports_leisure,sport_tempo_libero
sports_leisure,sport_tempo_libero
housewares,articoli_per_la_casa
furniture_decor,mobili_decorazione
pet_shop,negozio_animali
fashion_bags_accessories,moda_borse_accessori
toys,giocattoli
cool_stuff,articoli_cool
housewares,articoli_per_la_casa
furniture_decor,mobili_decorazione
construction_tools_construction,costruzione_attrezzi_edili
toys,giocattoli
housewares,articoli_per_la_casa
sports_leisure,sport_tempo_libero
books_technical,libri_tecnici
garden_tools,attrezzi_da_giardino
baby,neonati
bed_bath_table,letto_bagno_tavola
housewares,articoli_per_la_casa
health_beauty,salute_bellezza
audio,audio
office_furniture,mobili_ufficio
fashion_bags_accessories,moda_borse_accessori
health_beauty,salute_bellezza
health_beauty,salute_bellezza
health_beauty,salute_bellezza
telephony,telefonia
construction_tools_construction,costruzione_attrezzi_edili
auto,auto
sports_leisure,sport_tempo_libero
fashion_bags_accessories,moda_borse_accessori
sports_leisure,sport_tempo_libero
fashion_bags_accessories,moda_borse_accessori
housewares,articoli_per_la_casa
construction_tools_construction,costruzione_attrezzi_edili
stationery,cartoleria
furniture_decor,mobili_decorazione
electronics,elettronica
bed_bath_table,letto_bagno_tavola
auto,auto
food_drink,cibi_bevande
computers_accessories,informatica_accessori
auto,auto
garden_tools,attrezzi_da_giardino
bed_bath_table,letto_bagno_tavola
electronics,elettronica
furniture_decor,mobili_decorazione
furniture_decor,mobili_decorazione
housewares,articoli_per_la_casa
toys,giocattoli
electronics,elettronica
stationery,cartoleria
garden_tools,attrezzi_da_giardino
housewares,articoli_per_la_casa
home_construction,casa_costruzione
bed_bath_table,letto_bagno_tavola
health_beauty,salute_bellezza
watches_gifts,orologi_regali
bed_bath_table,letto_bagno_tavola
furniture_decor,mobili_decorazione
sports_leisure,sport_tempo_libero
sports_leisure,sport_tempo_libero
sports_leisure,sport_tempo_libero
health_beauty,salute_bellezza
computers_accessories,informatica_accessori
bed_bath_table,letto_bagno_tavola
fashion_bags_accessories,moda_borse_accessori
office_furniture,mobili_ufficio
health_beauty,salute_bellezza
watches_gifts,orologi_regali
sports_leisure,sport_tempo_libero
health_beauty,salute_bellezza
bed_bath_table,letto_bagno_tavola
fashion_male_clothing,moda_abbigliamento_uomo
sports_leisure,sport_tempo_libero
housewares,articoli_per_la_casa
health_beauty,salute_bellezza
watches_gifts,orologi_regali
home_appliances_2,elettrodomestici_2
furniture_living_room,mobili_soggiorno
luggage_accessories,valigie_accessori
